,StreetAddress,City,State,ZipCode,Latitude,Longitude,Price,YearBuilt,LotSize,HomeType,Zestimate,Bedrooms,Bathrooms,LivingArea,HOA,BrokerageName,LastSoldPrice,HomeStatus,Parking
472,821 San Luis Rd,Berkeley,CA,94707,37.8944,-122.27051,1095000,1949,6098,SINGLE_FAMILY,1084000,2,1,1088,,Coldwell Banker Realty,980000,FOR_SALE,1
473,0 Wildcat Canyon Rd,Berkeley,CA,94708,37.90385,-122.26785,325000,,7405,LOT,,,,7396,,Caldecott Properties,,FOR_SALE,0
474,3036 Fulton St #A,Berkeley,CA,94705,37.854397,-122.263596,798000,1915,5227,CONDO,855400,2,2,976,250,Bay Area Properties,,FOR_SALE,0
475,2333 Rose St,Berkeley,CA,94708,37.88336,-122.263916,1995000,1927,3920,SINGLE_FAMILY,2774300,4,5,2966,,Compass,2343000,FOR_SALE,2
476,Wildcat Canyon Rd,Berkeley,CA,94708,37.899364,-122.257225,549000,,13939,LOT,,,,13702,,Caldecott Properties,,FOR_SALE,0
477,1260 Burnett St,Berkeley,CA,94702,37.853363,-122.28407,1899000,1912,4356,SINGLE_FAMILY,2037700,6,3,2888,,Compass,,FOR_SALE,2
478,0 Tunnel Rd,Berkeley,CA,94705,37.858334,-122.243126,130000,,8001,LOT,,,,,,HomeCoin.com,,FOR_SALE,0
479,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
480,3055 Shattuck Ave,Berkeley,CA,94705,37.853275,-122.26592,1350000,1908,5662,MULTI_FAMILY,1403000,4,2,1986,,"Apex Financial & Realty, Inc.",156000,FOR_SALE,0
481,2532 College Ave,Berkeley,CA,94704,37.86455,-122.25417,1995000,1905,7814,MULTI_FAMILY,,,0,,,WOODWORTH PROPERTIES,,FOR_SALE,5
482,2310 Prince St #1,Berkeley,CA,94705,37.85346,-122.26134,890000,1915,,CONDO,,1,1,1015,160,"Novia Home, Inc",,FOR_SALE,0
483,98 Avenida Dr,Berkeley,CA,94708,37.88353,-122.25012,569000,,10018,LOT,2137500,,,10004,,Exp Realty Of California Inc.,730000,FOR_SALE,0
484,3110 Martin Luther King Jr Way,Berkeley,CA,94703,37.851944,-122.271164,1156000,1906,3920,MULTI_FAMILY,1390200,5,3,2553,,Compass,900000,FOR_SALE,0
485,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
486,1629 Tacoma Ave,Berkeley,CA,94707,37.891624,-122.28402,1095000,1915,3920,SINGLE_FAMILY,1603600,3,2,1250,,Compass,645000,FOR_SALE,1
487,157 Fairlawn Dr,Berkeley,CA,94708,37.885628,-122.25052,1425000,1955,6098,SINGLE_FAMILY,1945000,3,2,1943,,Red Oak Realty,1296000,FOR_SALE,2
488,832 Neilson St,Berkeley,CA,94707,37.89219,-122.28682,899000,1918,3484,SINGLE_FAMILY,1288700,2,1,904,,Compass,648000,FOR_SALE,1
489,2218 Carleton St,Berkeley,CA,94704,37.861427,-122.26367,2449000,1917,6534,MULTI_FAMILY,1718100,6,4,2964,,Compass,1500000,FOR_SALE,0
490,821 San Luis Rd,Berkeley,CA,94707,37.8944,-122.27051,1095000,1949,6098,SINGLE_FAMILY,1084000,2,1,1088,,Coldwell Banker Realty,980000,FOR_SALE,1
491,0 Wildcat Canyon Rd,Berkeley,CA,94708,37.90385,-122.26785,325000,,7405,LOT,,,,7396,,Caldecott Properties,,FOR_SALE,0
492,3036 Fulton St #A,Berkeley,CA,94705,37.854397,-122.263596,798000,1915,5227,CONDO,855400,2,2,976,250,Bay Area Properties,,FOR_SALE,0
